displacement ,force
2.93E-06,0.79008
5.86E-06,1.59E+00
8.78E-06,2.39E+00
1.17E-05,3.20E+00
1.46E-05,4.01E+00
1.76E-05,4.83E+00
2.05E-05,5.66E+00
2.34E-05,6.50E+00
2.63E-05,7.34E+00
2.93E-05,8.18E+00
3.51E-05,9.90E+00
4.10E-05,1.16E+01
4.97E-05,1.43E+01
5.85E-05,1.70E+01
6.43E-05,1.89E+01
7.02E-05,2.07E+01
7.89E-05,2.36E+01
8.77E-05,2.65E+01
9.35E-05,2.85E+01
9.94E-05,3.05E+01
1.08E-04,3.35E+01
1.17E-04,36.643
1.23E-04,38.755
1.29E-04,40.896
1.37E-04,44.158
1.46E-04,47.483
1.52E-04,49.735
1.58E-04,52.016
1.66E-04,55.489
1.75E-04,59.027
1.81E-04,61.421
1.87E-04,63.845
1.96E-04,67.535
2.04E-04,71.29
2.10E-04,73.829
2.16E-04,76.4
2.25E-04,80.31
2.33E-04,84.287
2.39E-04,86.974
2.45E-04,89.695
2.54E-04,93.831
2.62E-04,98.034
2.68E-04,100.87
2.74E-04,103.75
2.83E-04,108.11
2.92E-04,112.55
2.97E-04,115.54
3.03E-04,118.57
3.12E-04,123.17
3.21E-04,127.84
3.27E-04,130.99
3.32E-04,134.18
3.41E-04,139.02
3.50E-04,143.93
3.56E-04,147.23
3.62E-04,150.59
3.70E-04,155.67
3.79E-04,160.83
3.85E-04,164.3
3.91E-04,167.82
3.99E-04,173.14
4.08E-04,178.55
4.14E-04,182.19
4.20E-04,185.87
4.29E-04,191.46
4.38E-04,197.11
4.43E-04,200.92
4.49E-04,204.78
4.58E-04,210.62
4.67E-04,216.53
4.73E-04,220.51
4.79E-04,224.55
4.87E-04,230.65
4.96E-04,236.82
5.02E-04,240.97
5.08E-04,245.19
5.17E-04,251.55
5.26E-04,258
5.32E-04,262.32
5.37E-04,266.72
5.46E-04,273.36
5.55E-04,280.07
5.61E-04,284.58
5.67E-04,289.16
5.76E-04,296.07
5.84E-04,303.06
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
